title,author,brand,genre,id,remixers,released,15-10-2017,polarity,subjectivity,16-10-2017,17-10-2017,22-10-2017
Drop It,CamelPhat,Sola,Tech House,9705380,NA,2017-09-22,1,0.0,0.0,1,1,1
Sirens feat. Mizbee,"Mark Jenkyns, Mizbee",Hottrax,House,9745263,NA,2017-09-29,2,0.0,0.0,2,2,2
Lovelee Dae,"Blaze, Amine Edge & DANCE",Defected,House,9741859,NA,2017-09-29,3,0.0,0.0,3,3,3
Theme From S'Express,S'Express,Hot Creations,Tech House,9766819,Detlef,2017-10-06,4,0.0,0.0,4,4,4
Cola,"CamelPhat, Elderbrook",Defected,House,9786060,Mousse T.,2017-10-13,100,0.0,0.0,13,13,5
Live Again,"Danny Tenaglia, Layton Giordani",Drumcode,Techno,9764680,NA,2017-10-09,9,0.13636363636363635,0.5,6,6,6
Cola,"CamelPhat, Elderbrook",Defected,House,9382891,NA,2017-06-16,5,0.0,0.0,5,5,7
La Fiesta,Max Chapman,Hot Creations,Tech House,9625054,NA,2017-08-25,7,0.0,0.0,7,7,8
Midfield,"Roberto Capuano, Luigi Madonna",Second State,Techno,9628643,NA,2017-09-08,6,0.0,0.0,8,8,9
Kooky Chords,Jamie Jones,Hot Creations,Tech House,9676572,NA,2017-09-22,8,0.0,0.0,9,9,10
Space,Julian Jeweil,Drumcode,Techno,9702409,NA,2017-09-18,14,0.0,0.0,10,10,11
I Feel Love feat. Wynter Gordon,"Rhythm Masters, MYNC, Wynter Gordon",Cr2 Records,House,9719693,Illyus & Barrientos,2017-09-22,13,0.5,0.6,15,15,12
Take It Back,Layton Giordani,Drumcode,Techno,9764682,NA,2017-10-09,26,0.0,0.0,11,11,13
Thriller,Michael Jackson,Epic/Legacy,Big Room,9788831,Steve Aoki,2017-09-29,16,0.0,0.0,16,16,14
Atacama,"Patrice Baumel, Audiofly",Crosstown Rebels,Deep House,9678024,NA,2017-09-15,10,0.0,0.0,12,12,15
Tabu,ARTBAT,fryhide,Deep House,9701639,NA,2017-09-15,22,0.0,0.0,21,21,16
South,Julian Jeweil,Drumcode,Techno,9702410,NA,2017-09-18,19,0.0,0.0,20,20,17
Pop Dem Bottles,KlangKuenstler,ElRow Music,Tech House,9601152,NA,2017-09-04,18,0.0,0.0,18,18,18
Unconfused,Thomas Schumacher,Noir Music,Techno,9646435,NA,2017-09-08,20,0.0,0.0,23,23,19
Be,"Rowetta, Greco (NYC)",Rawsome Recordings,Tech House,9548091,KlangKuenstler,2017-08-18,12,0.0,0.0,14,14,20
Square Miso,Dusky,17 Steps,House,9738033,NA,2017-10-16,NA,0.0,0.0,NA,NA,21
