author,brand,title,remixers,genre,16-10-2017,release,id
CamelPhat,Sola,Drop It,NA,Tech House,1,2017-09-22,9705380
"Mark Jenkyns, Mizbee",Hottrax,Sirens feat. Mizbee,NA,House,2,2017-09-29,9745263
"Blaze, Amine Edge & DANCE",Defected,Lovelee Dae,NA,House,3,2017-09-29,9741859
S'Express,Hot Creations,Theme From S'Express,Detlef,Tech House,4,2017-10-06,9766819
"CamelPhat, Elderbrook",Defected,Cola,NA,House,5,2017-06-16,9382891
"Roberto Capuano, Luigi Madonna",Second State,Midfield,NA,Techno,6,2017-09-08,9628643
Max Chapman,Hot Creations,La Fiesta,NA,Tech House,7,2017-08-25,9625054
Jamie Jones,Hot Creations,Kooky Chords,NA,Tech House,8,2017-09-22,9676572
"Danny Tenaglia, Layton Giordani",Drumcode,Live Again,NA,Techno,9,2017-10-09,9764680
"Patrice Baumel, Audiofly",Crosstown Rebels,Atacama,NA,Deep House,10,2017-09-15,9678024
"Afrojack, Hardwell, MC Ambush",Wall Recordings,Hands Up feat. MC Ambush,NA,Big Room,11,2017-10-06,9793763
"Rowetta, Greco (NYC)",Rawsome Recordings,Be,KlangKuenstler,Tech House,12,2017-08-18,9548091
"Rhythm Masters, MYNC, Wynter Gordon",Cr2 Records,I Feel Love feat. Wynter Gordon,Illyus & Barrientos,House,13,2017-09-22,9719693
Julian Jeweil,Drumcode,Space,NA,Techno,14,2017-09-18,9702409
Yotto,Anjunadeep,North,NA,Progressive House,15,2017-10-06,9717292
Michael Jackson,Epic/Legacy,Thriller,Steve Aoki,Big Room,16,2017-09-29,9788831
Maetrik,Clash Lion,Ninex 7-c,NA,Techno,17,2017-09-29,9702213
KlangKuenstler,ElRow Music,Pop Dem Bottles,NA,Tech House,18,2017-09-04,9601152
Julian Jeweil,Drumcode,South,NA,Techno,19,2017-09-18,9702410
Thomas Schumacher,Noir Music,Unconfused,NA,Techno,20,2017-09-08,9646435
CamelPhat,Sola,Monsters,NA,Tech House,21,2017-09-22,9705379
ARTBAT,fryhide,Tabu,NA,Deep House,22,2017-09-15,9701639
Red Axes,Permanent Vacation,Sun My Sweet Sun,Konstantin Sibold,Deep House,23,2017-08-04,9526878
Massivedrum,NewLight Records,The Bomb 2K17,NA,Funky / Groove / Jackin' House,24,2017-07-17,9498407
Eli Brown,Repopulate Mars,Hysteria,NA,Tech House,25,2017-09-29,9737438
Layton Giordani,Drumcode,Take It Back,NA,Techno,26,2017-10-09,9764682
Red Axes,Life And Death,Kalacol feat. Yuli Vainshtein,NA,Indie Dance / Nu Disco,27,2017-10-06,9639381
Billy Kenny,Relief,The Hood Girl,NA,Tech House,28,2017-09-29,9755107
Age Of Love,Renaissance Records,The Age of Love,Solomun,Tech House,29,2017-07-21,9543291
"Tiga, Audion, Tiga VS Audion",Turbo Recordings,Stabbed In The Back,ANNA,Techno,30,2017-09-29,9740029
